"Alert Variables","Alarmvariables"
"Store View","Geschaeftansicht"
"Follow Up","Follow Up"
"First","Erster"
"Second","Zweiter"
"Third","Dritter"
"Alert Will Be Sent On","Alarmmitteilung wird gesendet sein Ein"
"Customer E-mail","E-mail des Kunden"
"Customer First Name","Kundenvorname"
"Customer Last Name","Kundenname"
"Products","Produkte"
"Save and Send Out","Speichern und senden Aus"
"Abandoned Cart Alert","Alarmmitteilung Kartenliste ist vernachlaessigt"
"ID","ID"
"Abandoned At","Vernachlaessigt am"
"Scheduled At","Geplannt am"
"Status","Status"
"Pending","Unvollendet"
"Not Sent","Nicht gesendet"
"Cancelled","Abgeschafft"
"Send and Save to History","Senden und in der Geschichte speichern"
"Are you sure?","Sind Sie sicher?"
"Delete","Loeschen"
"Customer Name","Kundenname"
"Message","Mitteilung"
"Sent Alert","Alarmmitteilung senden"
"Sent On","Gesendet Ein"
"Recovered On","Wiederhergestellt Ein"
"Remote IP","Entfernter IP"
"Update Queue Now","Die Reihe erneuern"
"Alerts Queue","Alarmmitteilungenreihe"
"Add Alert","Alarmmitteilung hinzufuegen"
"Sent Alerts","Alarmmitteilungen senden"
"Carts Alerts","Alarmmitteilung der Liste"
"Item does not exist","Posten existiert nicht"
"Alert has been successfully sent and deleted","Alarmmitteilung wurde erfolgreich gesendet und geloescht"
"Can not send the ID %d. Please check the email address and your server configuration","Kann nicht ID %d senden. Bitte pruefen sie die Email-Adresse und Ihre Servereinstellungen"
"Alert has been successfully saved","Alarmmitteilung war erfolgreich gespeichert"
"Unable to find item to save","Unmoeglich Posten zu finden, um zu speichern"
"Please select cartalert(s)","Bitte waehlen Sie die Listealarmmitteilung(en)"
"Total of %d record(s) were successfully deleted","Insgesamt von %d Anschreibungen waren erfolgreich geloescht"
"Can not send the alert ID %d. Please check the email address and your server configuration","Kann nicht Alarm-ID %d senden. Bitte pruefen sie die Email-Adresse und Ihre Servereinstellungen"
"Total of %d email(s) have been successfully sent","Gesamt aus %d Email-Brief(e) waren erfolgreich gesendet"
"Total of %d email(s) haven't been successfully sent: no visible products","Gesamt aus %d Email-Brief(e) waren nicht erfolgreich gesendet: keine sichtbare Produkte"
"Alert has been deleted","Alarmmitteilung war geloescht"
"Alerts for carts abandoned from %s to %s have been successfully added to the queue","Vernachlaessigte Alarmmitteilungen fuer Listen von %s bis %s waren erfolgreich in die Reihe hinzugefuegt"
"Unable to update queue","Kann nicht die Reihe zu erfrischen"
"History","Geschichte"
"Abandoned Carts Alerts","Alarmmitteilungen der Liste von vernachlaessigten Produkte"
"Pending Alerts","Alarmmitteilungen ueber unvollendeten Versuch"
"Abandoned Cart: The First Follow Up","Liste der Vernachlaessigten Produkte: Der erste Follow up"
"Abandoned Cart: The Second Follow Up","Liste der Vernachlaessigten Produkte: Der zweite Follow up"
"Abandoned Cart: The Third Follow Up","Liste der Vernachlaessigten Produkte: Der dritte Follow up"
"Send E-mails"," E-mails senden"
"If set to ""No"", alert emails will be generated, but won't be sent
automatically, while manual sending will be allowed","Wenn ""Nein"" ausgewaehlt ist, werden dann die Email-Briefe generiert, aber nicht gesendet 
automatisch, waehrend manuelle Sendung wird erlaubt sein"
"Email Sender","Email-Sender"
"First Delay Period (minutes)","Periode der Verschiebung (Minuten)"
"The system will send the first follow up email after the above mentioned amount of minutes upon customer's last activity in the cart. Supported minimum is 10 minutes.","Das System wird der erste Email-Brief nach der angegebenen Zahl der Minuten nach der letzten Aktivitaet des Kunden in der Liste senden. Als Minimum gelten 10 Minuten."
"First Email Template","Das erste Email-Brief-Muster"
"Second Delay Period (hours)","Die zweite Periode der Wartezeit (Stunden)"
"The system will send the second follow up email after the above mentioned amount of hours upon customer's last activity in the cart.","Das System wird der zweite Email-Brief nach der angegebenen Zahl der Minuten nach der letzten Aktivitaet des Kunden in der Liste senden. Als Minimum gelten 10 Minuten."
"Second Email Template","Der zweite Email-Brief-Muster"
"Third Delay Period (hours)","Die dritte Periode der Wartezeit (Stunden)"
"The system will send the third follow up email after the above mentioned amount of hours upon customer's last activity in the cart.","Das System wird der dritte Email-Brief nach der angegebenen Zahl der Minuten nach der letzten Aktivitaet des Kunden in der Liste senden. Als Minimum gelten 10 Minuten."
"Third Email Template","Das dritte Email-Brief-Muster"
"Stop alerts sending once the recipient makes a purchase","Briefe zu senden stoppen, wenn der Empfaenger den Kauf macht"
"Stop alerts sending once the recipient clicks a link in an email","Alarmmitteilungen zu senden stoppen, wenn der Empfaenger den Link in Email klickt"
"Include coupon in","Kupon einschliessen"
"Discount type","Rabatttyp"
"Discount amount","Rabattgroesse"
"Expire coupon in (days)","Kupon laeuft in (Tagen) aus"
"BCC Email","BCC-Email"
"Percent of product price discount","Prozent von Produktpreisrabatt"
"Fixed amount discount","Fixierter Rabatt"
"Fixed amount discount for whole cart","Fixierter Rabatt fuer die ganze Bestellung"
" Email Template"," Email-Muster"
"Friend","Freund"
